geoData,obj_type
POINT (55.644 37.687),factory
POINT (55.061944 38.828611),factory
POINT (55.276944 38.736667),factory
POINT (55.325 38.705556),factory
POINT (55.201667 38.781389),factory
POINT (55.883056 37.621111),factory
POINT (55.773056 37.508611),factory
POINT (55.797 38.935),factory
POINT (55.414444 38.971667),factory
POINT (55.388333 39.016111),factory
POINT (55.368889 38.997778),factory
POINT (55.3731608 39.0256691),factory
POINT (55.9430478 37.7816391),factory
POINT (55.904444 38.011389),factory
POINT (55.9175 38.028333),factory
POINT (55.905556 37.791389),factory
POINT (55.927086 38.053036),factory
POINT (55.459392 37.56689),factory
POINT (55.459167 37.5725),factory
POINT (55.430556 37.583611),factory
POINT (56.3291968 36.6855383),factory
POINT (55.704444 37.444444),factory
POINT (55.708611 37.446667),factory
POINT (55.528056 37.575278),factory
POINT (55.685278 37.608333),factory
POINT (55.585833 37.624444),factory
POINT (55.855833 37.533889),factory
POINT (55.752531 37.741498),factory
POINT (55.74 37.790556),factory
POINT (55.802778 37.577778),factory
POINT (55.553611 37.7625),factory
POINT (54.814144 38.251298),factory
POINT (55.59 36.45),factory
POINT (55.728056 37.686667),factory
POINT (55.805278 37.970556),factory
POINT (55.324444 38.686111),factory
POINT (55.255 38.751111),factory
POINT (55.087778 38.813889),factory
POINT (55.07028 38.78556),factory
POINT (55.805278 37.591111),factory
POINT (55.9073659 37.7582932),factory
POINT (55.92 37.770556),factory
POINT (55.908424 38.038444),factory
POINT (55.415 37.570833),factory
POINT (55.772222 37.721667),factory
POINT (54.9075 38.067778),factory
POINT (54.8179108 38.2508835),factory
POINT (55.927222 38.02),factory
POINT (55.649167 37.809444),factory
POINT (55.791389 37.384722),factory
POINT (55.74743 37.63255),factory
POINT (55.5646601 39.576273),factory
POINT (55.910902 38.016681),factory
